2002.041096
   Z       E            F
   8  9.156E+02  2.183E-05
   8  1.053E+03  1.470E-05
   8  1.210E+03  9.886E-06
   8  1.392E+03  6.639E-06
   8  1.600E+03  4.455E-06
   8  1.840E+03  2.988E-06
   8  2.115E+03  1.999E-06
   8  2.432E+03  1.338E-06
   8  2.796E+03  8.945E-07
   8  3.215E+03  5.978E-07
   8  3.696E+03  3.994E-07
   8  4.250E+03  2.664E-07
   8  4.886E+03  1.778E-07
   8  5.618E+03  1.187E-07
   8  6.459E+03  7.906E-08
   8  7.427E+03  5.280E-08
   8  8.539E+03  3.514E-08
   8  9.817E+03  2.344E-08
   8  1.129E+04  1.561E-08
   8  1.298E+04  1.041E-08
   8  1.492E+04  6.928E-09
   8  1.716E+04  4.613E-09
   8  1.973E+04  3.074E-09
   8  2.268E+04  2.046E-09
   8  2.608E+04  1.363E-09
   8  2.998E+04  9.073E-10
   8  3.447E+04  6.041E-10
   8  3.963E+04  4.024E-10
   8  4.557E+04  2.677E-10
   8  5.239E+04  1.782E-10
   8  6.024E+04  1.187E-10
   8  6.926E+04  7.899E-11
   8  7.963E+04  5.253E-11
   8  9.156E+04  3.504E-11
   8  1.053E+05  2.323E-11
   8  1.210E+05  1.556E-11
   8  1.392E+05  1.026E-11
   8  1.600E+05  6.928E-12
   9  1.900E-01  1.176E-04
   9  2.185E-01  1.367E-04
   9  2.512E-01  1.590E-04
   9  2.888E-01  1.849E-04
   9  3.320E-01  2.151E-04
   9  3.818E-01  2.503E-04
   9  4.389E-01  2.913E-04
   9  5.047E-01  3.390E-04
   9  5.802E-01  3.945E-04
   9  6.671E-01  4.590E-04
   9  7.670E-01  5.338E-04
   9  8.819E-01  6.203E-04
   9  1.014E+00  7.198E-04
   9  1.166E+00  8.339E-04
   9  1.340E+00  9.637E-04
   9  1.541E+00  1.110E-03
   9  1.772E+00  1.274E-03
   9  2.037E+00  1.455E-03
   9  2.342E+00  1.651E-03
