2008.120219
   Z       E            F
   5  4.141E+04  2.286E-12
   5  4.762E+04  1.424E-12
   5  5.475E+04  8.877E-13
   5  6.295E+04  5.544E-13
   5  7.237E+04  3.448E-13
   5  8.321E+04  2.160E-13
   5  9.567E+04  1.335E-13
   5  1.100E+05  8.443E-14
   6  1.200E-01  5.987E-02
   6  1.380E-01  6.963E-02
   6  1.586E-01  8.097E-02
   6  1.824E-01  9.414E-02
   6  2.097E-01  1.094E-01
   6  2.411E-01  1.271E-01
   6  2.772E-01  1.474E-01
   6  3.187E-01  1.707E-01
   6  3.665E-01  1.974E-01
   6  4.213E-01  2.275E-01
   6  4.844E-01  2.613E-01
   6  5.570E-01  2.988E-01
   6  6.404E-01  3.398E-01
   6  7.363E-01  3.842E-01
   6  8.466E-01  4.311E-01
   6  9.734E-01  4.800E-01
   6  1.119E+00  5.295E-01
   6  1.287E+00  5.783E-01
   6  1.479E+00  6.249E-01
   6  1.701E+00  6.675E-01
   6  1.956E+00  7.042E-01
   6  2.249E+00  7.333E-01
   6  2.585E+00  7.533E-01
   6  2.972E+00  7.628E-01
   6  3.418E+00  7.612E-01
   6  3.929E+00  7.481E-01
   6  4.518E+00  7.238E-01
   6  5.195E+00  6.891E-01
   6  5.972E+00  6.453E-01
   6  6.867E+00  5.943E-01
   6  7.895E+00  5.380E-01
   6  9.078E+00  4.786E-01
   6  1.044E+01  4.185E-01
   6  1.200E+01  3.597E-01
   6  1.380E+01  3.040E-01
   6  1.586E+01  2.525E-01
   6  1.824E+01  2.062E-01
   6  2.097E+01  1.657E-01
   6  2.411E+01  1.310E-01
   6  2.772E+01  1.021E-01
   6  3.187E+01  7.838E-02
   6  3.665E+01  5.938E-02
   6  4.213E+01  4.438E-02
   6  4.844E+01  3.275E-02
   6  5.570E+01  2.391E-02
   6  6.404E+01  1.728E-02
   6  7.363E+01  1.237E-02
   6  8.466E+01  8.768E-03
   6  9.734E+01  6.168E-03
   6  1.119E+02  4.310E-03
   6  1.287E+02  2.991E-03
   6  1.479E+02  2.061E-03
   6  1.701E+02  1.416E-03
   6  1.956E+02  9.662E-04
   6  2.249E+02  6.582E-04
   6  2.585E+02  4.452E-04
   6  2.972E+02  3.010E-04
   6  3.418E+02  2.026E-04
   6  3.929E+02  1.361E-04
   6  4.518E+02  9.125E-05
   6  5.195E+02  6.095E-05
   6  5.972E+02  4.074E-05
   6  6.867E+02  2.714E-05
   6  7.895E+02  1.807E-05
   6  9.078E+02  1.202E-05
   6  1.044E+03  7.981E-06
   6  1.200E+03  5.298E-06
   6  1.380E+03  3.513E-06
   6  1.586E+03  2.328E-06
   6  1.824E+03  1.543E-06
   6  2.097E+03  1.020E-06
   6  2.411E+03  6.757E-07
   6  2.772E+03  4.465E-07
   6  3.187E+03  2.954E-07
   6  3.665E+03  1.952E-07
   6  4.213E+03  1.289E-07
   6  4.844E+03  8.521E-08
   6  5.570E+03  5.629E-08
   6  6.404E+03  3.715E-08
   6  7.363E+03  2.456E-08
   6  8.466E+03  1.619E-08
   6  9.734E+03  1.070E-08
   6  1.119E+04  7.060E-09
   6  1.287E+04  4.663E-09
   6  1.479E+04  3.076E-09
   6  1.701E+04  2.029E-09
   6  1.956E+04  1.340E-09
   6  2.249E+04  8.842E-10
   6  2.585E+04  5.830E-10
   6  2.972E+04  3.853E-10
   6  3.418E+04  2.536E-10
   6  3.929E+04  1.677E-10
   6  4.518E+04  1.104E-10
   6  5.195E+04  7.300E-11
   6  5.972E+04  4.805E-11
   6  6.867E+04  3.177E-11
   6  7.895E+04  2.089E-11
   6  9.078E+04  1.386E-11
   6  1.044E+05  9.063E-12
   6  1.200E+05  6.061E-12
   7  1.400E-01  1.124E-02
   7  1.610E-01  1.306E-02
   7  1.851E-01  1.517E-02
   7  2.128E-01  1.761E-02
   7  2.447E-01  2.045E-02
   7  2.813E-01  2.373E-02
   7  3.234E-01  2.751E-02
   7  3.719E-01  3.185E-02
   7  4.275E-01  3.682E-02
   7  4.916E-01  4.248E-02
   7  5.652E-01  4.886E-02
   7  6.498E-01  5.601E-02
   7  7.471E-01  6.393E-02
   7  8.590E-01  7.260E-02
   7  9.877E-01  8.196E-02
   7  1.136E+00  9.189E-02
   7  1.306E+00  1.022E-01
   7  1.501E+00  1.128E-01
   7  1.726E+00  1.232E-01
   7  1.984E+00  1.332E-01
   7  2.282E+00  1.423E-01
   7  2.623E+00  1.503E-01
   7  3.016E+00  1.566E-01
   7  3.468E+00  1.610E-01
   7  3.987E+00  1.631E-01
   7  4.584E+00  1.626E-01
   7  5.271E+00  1.596E-01
   7  6.060E+00  1.540E-01
   7  6.968E+00  1.461E-01
   7  8.011E+00  1.360E-01
