2023.873973
    Z       E            F 
   6  8.466E-01  1.530E+01
   6  9.733E-01  1.314E+01
   6  1.119E+00  1.126E+01
   6  1.286E+00  9.640E+00
   6  1.480E+00  8.225E+00
   6  1.700E+00  7.007E+00
   6  1.956E+00  5.946E+00
   6  2.249E+00  5.033E+00
   6  2.585E+00  4.246E+00
   6  2.972E+00  3.567E+00
   6  3.418E+00  2.984E+00
   6  3.930E+00  2.484E+00
   6  4.518E+00  2.058E+00
   6  5.195E+00  1.696E+00
   6  5.972E+00  1.389E+00
   6  6.866E+00  1.131E+00
   6  7.895E+00  9.142E-01
   6  9.078E+00  7.338E-01
   6  1.044E+01  5.849E-01
   6  1.200E+01  4.625E-01
   6  1.380E+01  3.628E-01
   6  1.586E+01  2.826E-01
   6  1.824E+01  2.182E-01
   6  2.098E+01  1.671E-01
   6  2.411E+01  1.271E-01
   6  2.772E+01  9.584E-02
   6  3.187E+01  7.172E-02
   6  3.665E+01  5.328E-02
   6  4.213E+01  3.931E-02
   6  4.844E+01  2.880E-02
   6  5.570E+01  2.097E-02
   6  6.404E+01  1.518E-02
   6  7.363E+01  1.093E-02
   6  8.466E+01  7.830E-03
   6  9.733E+01  5.584E-03
   6  1.119E+02  3.964E-03
   6  1.286E+02  2.806E-03
   6  1.480E+02  1.976E-03
   6  1.700E+02  1.390E-03
   6  1.956E+02  9.724E-04
   6  2.249E+02  6.797E-04
   6  2.585E+02  4.743E-04
   6  2.972E+02  3.300E-04
   6  3.418E+02  2.292E-04
   6  3.930E+02  1.589E-04
   6  4.518E+02  1.101E-04
   6  5.195E+02  7.619E-05
   6  5.972E+02  5.267E-05
   6  6.866E+02  3.637E-05
   6  7.895E+02  2.509E-05
   6  9.078E+02  1.729E-05
   6  1.044E+03  1.192E-05
   6  1.200E+03  8.207E-06
   6  1.380E+03  5.645E-06
   6  1.586E+03  3.886E-06
   6  1.824E+03  2.672E-06
   6  2.098E+03  1.836E-06
   6  2.411E+03  1.264E-06
   6  2.772E+03  8.681E-07
   6  3.187E+03  5.964E-07
   6  3.665E+03  4.096E-07
   6  4.213E+03  2.814E-07
   6  4.844E+03  1.932E-07
   6  5.570E+03  1.326E-07
   6  6.404E+03  9.106E-08
   6  7.363E+03  6.252E-08
   6  8.466E+03  4.291E-08
   6  9.733E+03  2.946E-08
   6  1.119E+04  2.022E-08
   6  1.286E+04  1.388E-08
   6  1.480E+04  9.519E-09
   6  1.700E+04  6.540E-09
   6  1.956E+04  4.482E-09
   6  2.249E+04  3.076E-09
   6  2.585E+04  2.113E-09
   6  2.972E+04  1.449E-09
   6  3.418E+04  9.941E-10
   6  3.930E+04  6.818E-10
   6  4.518E+04  4.680E-10
   6  5.195E+04  3.211E-10
   6  5.972E+04  2.203E-10
   6  6.866E+04  1.512E-10
   6  7.895E+04  1.038E-10
   6  9.078E+04  7.116E-11
   6  1.044E+05  4.885E-11
   6  1.200E+05  3.349E-11
   7  1.400E-01  2.741E+00
   7  1.610E-01  2.619E+00
   7  1.851E-01  2.500E+00
   7  2.128E-01  2.385E+00
   7  2.447E-01  2.273E+00
   7  2.813E-01  2.166E+00
   7  3.234E-01  2.061E+00
   7  3.718E-01  1.958E+00
   7  4.276E-01  1.859E+00
   7  4.915E-01  1.762E+00
   7  5.652E-01  1.667E+00
   7  6.499E-01  1.574E+00
   7  7.472E-01  1.483E+00
   7  8.590E-01  1.394E+00
   7  9.877E-01  1.307E+00
   7  1.136E+00  1.221E+00
   7  1.306E+00  1.136E+00
   7  1.501E+00  1.054E+00
   7  1.726E+00  9.725E-01
   7  1.984E+00  8.933E-01
   7  2.282E+00  8.156E-01
   7  2.624E+00  7.402E-01
   7  3.016E+00  6.674E-01
   7  3.468E+00  5.970E-01
   7  3.987E+00  5.298E-01
   7  4.585E+00  4.659E-01
   7  5.271E+00  4.060E-01
   7  6.061E+00  3.501E-01
   7  6.968E+00  2.988E-01
   7  8.011E+00  2.521E-01
   7  9.211E+00  2.101E-01
   7  1.059E+01  1.730E-01
   7  1.218E+01  1.408E-01
   7  1.400E+01  1.130E-01
   7  1.610E+01  8.960E-02
   7  1.851E+01  7.017E-02
   7  2.128E+01  5.425E-02
   7  2.447E+01  4.142E-02
   7  2.813E+01  3.129E-02
   7  3.234E+01  2.335E-02
   7  3.718E+01  1.723E-02
   7  4.276E+01  1.259E-02
   7  4.915E+01  9.114E-03
   7  5.652E+01  6.536E-03
   7  6.499E+01  4.649E-03
   7  7.472E+01  3.282E-03
   7  8.590E+01  2.301E-03
   7  9.877E+01  1.603E-03
   7  1.136E+02  1.111E-03
   7  1.306E+02  7.653E-04
   7  1.501E+02  5.254E-04
   7  1.726E+02  3.585E-04
   7  1.984E+02  2.443E-04
   7  2.282E+02  1.655E-04
   7  2.624E+02  1.120E-04
   7  3.016E+02  7.563E-05
   7  3.468E+02  5.089E-05
   7  3.987E+02  3.419E-05
   7  4.585E+02  2.292E-05
   7  5.271E+02  1.535E-05
   7  6.061E+02  1.027E-05
   7  6.968E+02  6.858E-06
   7  8.011E+02  4.577E-06
   7  9.211E+02  3.051E-06
   7  1.059E+03  2.032E-06
   7  1.218E+03  1.353E-06
   7  1.400E+03  8.999E-07
   7  1.610E+03  5.980E-07
   7  1.851E+03  3.976E-07
   7  2.128E+03  2.641E-07
   7  2.447E+03  1.753E-07
   7  2.813E+03  1.165E-07
   7  3.234E+03  7.732E-08
   7  3.718E+03  5.131E-08
   7  4.276E+03  3.403E-08
   7  4.915E+03  2.258E-08
   7  5.652E+03  1.497E-08
   7  6.499E+03  9.926E-09
   7  7.472E+03  6.582E-09
   7  8.590E+03  4.364E-09
   7  9.877E+03  2.893E-09
   7  1.136E+04  1.918E-09
   7  1.306E+04  1.271E-09
   7  1.501E+04  8.432E-10
   7  1.726E+04  5.583E-10
   7  1.984E+04  3.705E-10
   7  2.282E+04  2.452E-10
   7  2.624E+04  1.625E-10
   7  3.016E+04  1.078E-10
   7  3.468E+04  7.138E-11
   7  3.987E+04  4.730E-11
   7  4.585E+04  3.133E-11
   7  5.271E+04  2.076E-11
   7  6.061E+04  1.376E-11
   7  6.968E+04  9.117E-12
   7  8.011E+04  6.044E-12
   7  9.211E+04  4.005E-12
   7  1.059E+05  2.652E-12
   7  1.218E+05  1.758E-12
   7  1.400E+05  1.164E-12
   8  1.600E-01  7.385E+01
   8  1.840E-01  6.454E+01
   8  2.115E-01  5.640E+01
   8  2.432E-01  4.926E+01
   8  2.797E-01  4.300E+01
   8  3.214E-01  3.754E+01
   8  3.696E-01  3.275E+01
   8  4.250E-01  2.855E+01
   8  4.886E-01  2.487E+01
   8  5.618E-01  2.165E+01
   8  6.459E-01  1.882E+01
   8  7.427E-01  1.635E+01
   8  8.539E-01  1.419E+01
   8  9.818E-01  1.230E+01
   8  1.129E+00  1.064E+01
   8  1.298E+00  9.195E+00
   8  1.492E+00  7.928E+00
   8  1.715E+00  6.823E+00
   8  1.973E+00  5.854E+00
   8  2.267E+00  5.013E+00
   8  2.608E+00  4.276E+00
   8  2.998E+00  3.637E+00
   8  3.446E+00  3.082E+00
   8  3.963E+00  2.600E+00
