2024.125683
   Z       E         F
   7  1.306E+04  1.842E-09
   7  1.501E+04  1.232E-09
   7  1.726E+04  8.228E-10
   7  1.984E+04  5.507E-10
   7  2.282E+04  3.675E-10
   7  2.624E+04  2.457E-10
   7  3.016E+04  1.643E-10
   7  3.468E+04  1.098E-10
   7  3.987E+04  7.334E-11
   7  4.585E+04  4.899E-11
   7  5.271E+04  3.275E-11
   7  6.061E+04  2.188E-11
   7  6.968E+04  1.462E-11
   7  8.011E+04  9.772E-12
   7  9.211E+04  6.529E-12
   7  1.059E+05  4.361E-12
   7  1.218E+05  2.915E-12
   7  1.400E+05  1.947E-12
   8  1.600E-01  4.127E-02
   8  1.840E-01  4.700E-02
   8  2.115E-01  5.344E-02
   8  2.432E-01  6.066E-02
   8  2.797E-01  6.875E-02
   8  3.214E-01  7.772E-02
   8  3.696E-01  8.769E-02
   8  4.250E-01  9.867E-02
   8  4.886E-01  1.107E-01
   8  5.618E-01  1.238E-01
   8  6.459E-01  1.379E-01
   8  7.427E-01  1.529E-01
   8  8.539E-01  1.688E-01
   8  9.818E-01  1.854E-01
   8  1.129E+00  2.024E-01
   8  1.298E+00  2.195E-01
   8  1.492E+00  2.365E-01
   8  1.715E+00  2.527E-01
   8  1.973E+00  2.679E-01
   8  2.267E+00  2.813E-01
   8  2.608E+00  2.927E-01
   8  2.998E+00  3.012E-01
   8  3.446E+00  3.066E-01
   8  3.963E+00  3.084E-01
   8  4.557E+00  3.064E-01
   8  5.240E+00  3.004E-01
   8  6.024E+00  2.906E-01
   8  6.926E+00  2.772E-01
   8  7.963E+00  2.606E-01
   8  9.155E+00  2.414E-01
   8  1.053E+01  2.202E-01
   8  1.210E+01  1.979E-01
   8  1.392E+01  1.751E-01
   8  1.600E+01  1.525E-01
   8  1.840E+01  1.308E-01
   8  2.115E+01  1.105E-01
   8  2.432E+01  9.195E-02
   8  2.797E+01  7.539E-02
   8  3.214E+01  6.100E-02
   8  3.696E+01  4.865E-02
   8  4.250E+01  3.830E-02
   8  4.886E+01  2.977E-02
   8  5.618E+01  2.288E-02
   8  6.459E+01  1.739E-02
   8  7.427E+01  1.308E-02
   8  8.539E+01  9.751E-03
   8  9.818E+01  7.204E-03
   8  1.129E+02  5.280E-03
   8  1.298E+02  3.842E-03
   8  1.492E+02  2.777E-03
   8  1.715E+02  1.997E-03
   8  1.973E+02  1.426E-03
   8  2.267E+02  1.015E-03
   8  2.608E+02  7.180E-04
