1968.041096
   Z,        E,        F  
   5  4.441E+03  1.000E-33
   5  5.106E+03  1.000E-33
   5  5.870E+03  1.000E-33
   5  6.749E+03  1.000E-33
   5  7.760E+03  1.000E-33
   5  8.922E+03  1.000E-33
   5  1.026E+04  1.000E-33
   5  1.179E+04  1.000E-33
   5  1.356E+04  1.000E-33
   5  1.559E+04  1.000E-33
   5  1.793E+04  1.000E-33
   5  2.061E+04  1.000E-33
   5  2.370E+04  1.000E-33
   5  2.725E+04  1.000E-33
   5  3.133E+04  1.000E-33
   5  3.602E+04  1.000E-33
   5  4.141E+04  1.000E-33
   5  4.762E+04  1.000E-33
   5  5.475E+04  1.000E-33
   5  6.295E+04  1.000E-33
   5  7.237E+04  1.000E-33
   5  8.321E+04  1.000E-33
   5  9.567E+04  1.000E-33
   5  1.100E+05  1.000E-33
   6  1.200E-01  1.000E-33
   6  1.380E-01  1.000E-33
   6  1.586E-01  1.000E-33
   6  1.824E-01  1.000E-33
   6  2.097E-01  1.000E-33
   6  2.411E-01  1.000E-33
   6  2.772E-01  1.000E-33
   6  3.187E-01  1.000E-33
   6  3.665E-01  1.000E-33
   6  4.213E-01  1.000E-33
   6  4.844E-01  1.000E-33
   6  5.570E-01  1.000E-33
   6  6.404E-01  1.000E-33
   6  7.363E-01  1.000E-33
   6  8.466E-01  1.000E-33
   6  9.734E-01  1.000E-33
   6  1.119E+00  1.000E-33
   6  1.287E+00  1.000E-33
   6  1.479E+00  1.000E-33
   6  1.701E+00  1.000E-33
   6  1.956E+00  1.000E-33
   6  2.249E+00  1.000E-33
   6  2.585E+00  1.000E-33
   6  2.972E+00  1.000E-33
   6  3.418E+00  1.000E-33
   6  3.929E+00  1.000E-33
   6  4.518E+00  1.000E-33
   6  5.195E+00  1.000E-33
   6  5.972E+00  1.000E-33
   6  6.867E+00  1.000E-33
   6  7.895E+00  1.000E-33
   6  9.078E+00  1.000E-33
   6  1.044E+01  1.000E-33
   6  1.200E+01  1.000E-33
   6  1.380E+01  1.000E-33
   6  1.586E+01  1.000E-33
   6  1.824E+01  1.000E-33
   6  2.097E+01  1.000E-33
   6  2.411E+01  1.000E-33
   6  2.772E+01  1.000E-33
   6  3.187E+01  1.000E-33
   6  3.665E+01  1.000E-33
   6  4.213E+01  1.000E-33
   6  4.844E+01  1.000E-33
   6  5.570E+01  1.000E-33
   6  6.404E+01  1.000E-33
   6  7.363E+01  1.000E-33
   6  8.466E+01  1.000E-33
   6  9.734E+01  1.000E-33
   6  1.119E+02  1.000E-33
   6  1.287E+02  1.000E-33
   6  1.479E+02  1.000E-33
   6  1.701E+02  1.000E-33
   6  1.956E+02  1.000E-33
   6  2.249E+02  1.000E-33
   6  2.585E+02  1.000E-33
   6  2.972E+02  1.000E-33
   6  3.418E+02  1.000E-33
   6  3.929E+02  1.000E-33
   6  4.518E+02  1.000E-33
   6  5.195E+02  1.000E-33
   6  5.972E+02  1.000E-33
   6  6.867E+02  1.000E-33
   6  7.895E+02  1.000E-33
   6  9.078E+02  1.000E-33
   6  1.044E+03  1.000E-33
   6  1.200E+03  1.000E-33
   6  1.380E+03  1.000E-33
   6  1.586E+03  1.000E-33
   6  1.824E+03  1.000E-33
   6  2.097E+03  1.000E-33
   6  2.411E+03  1.000E-33
   6  2.772E+03  1.000E-33
   6  3.187E+03  1.000E-33
   6  3.665E+03  1.000E-33
   6  4.213E+03  1.000E-33
   6  4.844E+03  1.000E-33
   6  5.570E+03  1.000E-33
   6  6.404E+03  1.000E-33
   6  7.363E+03  1.000E-33
   6  8.466E+03  1.000E-33
   6  9.734E+03  1.000E-33
   6  1.119E+04  1.000E-33
   6  1.287E+04  1.000E-33
   6  1.479E+04  1.000E-33
   6  1.701E+04  1.000E-33
   6  1.956E+04  1.000E-33
   6  2.249E+04  1.000E-33
   6  2.585E+04  1.000E-33
   6  2.972E+04  1.000E-33
   6  3.418E+04  1.000E-33
